Ensembl_Gene_ID	RatID1_CX_SHM_mRNA	RatID10_CX_TRM_mRNA	RatID2_CX_SHM_mRNA	RatID3_CX_SHM_mRNA	RatID4_CX_SHM_mRNA	RatID5_CX_SHM_mRNA	RatID6_CX_TRM_mRNA	RatID7_CX_TRM_mRNA	RatID8_CX_TRM_mRNA	Rat9_CX_TRM_mRNA
ENSRNOG00000033879	3	105	3	6	1	3	183	72	87	91
ENSRNOG00000045772	48	1930	58	163	34	68	4555	2808	1515	1604
ENSRNOG00000028896	51	2020	61	170	35	76	4748	2951	1598	1680
ENSRNOG00000010645	19	484	41	22	22	36	931	606	401	424
ENSRNOG00000018505	8	160	3	3	6	13	151	136	86	91
ENSRNOG00000043451	15	232	14	21	16	19	767	178	300	262
ENSRNOG00000011821	42	874	68	63	35	110	1218	663	755	670
ENSRNOG00000006094	36	430	31	35	27	54	759	530	344	366
ENSRNOG00000015867	1	51	1	4	3	3	69	35	26	37
ENSRNOG00000008911	4	73	3	6	0	13	97	101	50	60
ENSRNOG00000029342	9	146	15	11	6	12	248	113	81	109
ENSRNOG00000016164	129	1556	46	77	123	91	1361	1038	898	1299
ENSRNOG00000008816	133	2061	174	220	190	263	3411	2307	1389	1767
ENSRNOG00000012031	0	29	2	0	1	5	50	44	25	15
ENSRNOG00000014314	7	113	7	14	9	19	198	87	102	99
ENSRNOG00000039969	1	15	0	3	1	0	41	20	15	11
ENSRNOG00000024000	14	179	15	17	19	21	216	112	136	135
ENSRNOG00000003537	17	158	16	20	11	22	229	134	141	113
ENSRNOG00000019573	222	1743	169	215	222	292	2401	2202	1533	1558
ENSRNOG00000015156	13	105	8	9	6	19	125	130	56	72
ENSRNOG00000007457	109	1456	292	237	183	333	2678	1681	1500	1546
ENSRNOG00000029586	11	56	4	6	0	15	98	46	56	77
ENSRNOG00000009227	35	237	41	43	30	64	549	699	182	287
ENSRNOG00000002919	9535	71864	9136	8297	7492	10955	91650	65251	53789	57027
ENSRNOG00000010785	2	13	1	1	0	1	22	28	11	7
ENSRNOG00000028460	6	38	7	5	3	5	82	38	46	29
ENSRNOG00000017469	24	343	72	53	42	99	648	437	342	368
ENSRNOG00000022256	4	18	7	7	11	5	100	89	63	40
ENSRNOG00000003654	8	81	10	18	10	12	105	68	87	91
ENSRNOG00000007743	33	329	44	64	56	69	528	263	323	334
ENSRNOG00000014838	4	44	11	5	5	3	59	52	32	33
ENSRNOG00000007159	2	15	5	1	1	0	29	23	11	18
ENSRNOG00000001963	51	631	109	141	138	125	1193	403	750	576
ENSRNOG00000001959	30	279	48	42	53	50	440	192	315	159
ENSRNOG00000037563	71	282	48	46	37	48	452	272	300	260
ENSRNOG00000011913	61	803	203	142	95	221	1743	807	580	799
ENSRNOG00000009620	16	112	24	29	16	42	220	179	119	119
ENSRNOG00000007539	12	89	16	32	20	14	190	96	109	81
ENSRNOG00000037196	2	31	4	9	0	6	56	14	29	25
ENSRNOG00000023546	215	1017	191	281	249	237	1946	1358	1026	1230
ENSRNOG00000018892	17	51	4	11	3	12	54	79	88	41
ENSRNOG00000046001	29	167	18	82	9	38	545	250	150	241
ENSRNOG00000028386	40	178	25	39	30	45	274	241	169	148
ENSRNOG00000048944	1	15	2	2	3	1	21	13	9	16
ENSRNOG00000003544	4	46	4	7	6	3	34	31	22	23
ENSRNOG00000007266	5	42	4	2	11	5	63	26	20	32
ENSRNOG00000016247	10	22	2	8	3	4	67	36	33	28
ENSRNOG00000002134	17	85	14	18	16	9	139	73	75	61
ENSRNOG00000027811	0	13	2	0	0	7	36	21	6	15
ENSRNOG00000038960	51	528	95	110	70	122	748	359	423	358
ENSRNOG00000004536	0	21	2	4	1	6	23	13	18	18
ENSRNOG00000017355	2	51	3	19	3	22	130	48	41	52
ENSRNOG00000018087	1429	9749	2805	2175	1566	3323	18637	12587	9014	10561
ENSRNOG00000049893	22	209	44	53	34	40	348	154	178	159
ENSRNOG00000002130	6	32	3	9	5	4	57	26	29	25
ENSRNOG00000048302	41	373	76	99	63	80	645	282	327	279
ENSRNOG00000042583	5	27	4	4	3	5	49	19	26	16
ENSRNOG00000019542	29	270	58	76	42	58	459	205	239	205
ENSRNOG00000031743	45	291	65	70	72	83	556	304	299	276
ENSRNOG00000047699	5	28	2	6	3	7	55	24	12	29
ENSRNOG00000042867	5	25	2	4	3	5	36	23	17	18
ENSRNOG00000025764	168	853	151	190	166	199	1317	862	624	745
ENSRNOG00000018436	9	30	5	8	3	4	39	35	27	35
ENSRNOG00000046839	18	165	35	50	30	38	306	127	148	134
ENSRNOG00000012301	9	69	9	15	0	19	71	42	60	47
ENSRNOG00000007922	13	58	21	23	16	10	181	73	55	89
ENSRNOG00000011971	57	482	154	138	124	142	995	561	462	518
ENSRNOG00000017542	3	19	1	2	2	2	22	12	8	11
ENSRNOG00000024338	11	73	22	21	7	16	109	72	58	80
ENSRNOG00000033444	7	36	10	9	12	6	78	37	49	35
ENSRNOG00000023828	26	138	30	35	11	33	181	124	78	153
ENSRNOG00000046195	20	91	15	22	22	30	132	100	79	126
ENSRNOG00000048220	3	38	4	6	9	4	40	14	29	25
ENSRNOG00000014603	10	59	7	12	10	21	80	48	60	50
ENSRNOG00000025551	22	168	40	27	25	41	264	134	88	112
ENSRNOG00000012714	11	79	10	20	4	27	80	62	63	65
ENSRNOG00000000814	367	2628	484	450	433	744	2845	1837	1884	2024
ENSRNOG00000023576	61	344	96	78	59	147	539	397	336	378
ENSRNOG00000010947	84	440	141	181	168	184	1191	661	456	709
ENSRNOG00000037688	2	19	2	11	0	5	35	25	13	21
ENSRNOG00000024280	2	36	5	18	4	13	103	26	26	36
ENSRNOG00000009061	4	30	4	7	0	11	52	14	14	38
