Ensembl_Gene_ID	RatID1_TH_SHM_mRNA	RatID10_TH_TRM_mRNA	RatID2_TH_SHM_mRNA	RatID3_TH_SHM_mRNA	RatID4_TH_SHM_mRNA	RatID5_TH_SHM_mRNA	RatID6_TH_TRM_mRNA	RatID7_TH_TRM_mRNA	RatID8_TH_TRM_mRNA	RatID9_TH_TRM_mRNA
ENSRNOG00000000001	24	16	29	23	27	21	30	15	7	21
ENSRNOG00000000007	3364	1308	2325	820	2788	1173	3755	4159	1515	2346
ENSRNOG00000000008	10	0	8	9	7	11	8	12	6	0
ENSRNOG00000000009	0	2	0	1	2	0	0	4	0	1
ENSRNOG00000000010	1715	1450	1483	1754	1824	1736	1517	1770	1096	925
ENSRNOG00000000012	52	18	10	12	21	8	42	36	17	7
ENSRNOG00000000014	972	403	812	890	831	703	978	751	473	450
ENSRNOG00000000017	85	1	6	9	2	9	14	10	15	2
ENSRNOG00000000021	503	259	380	388	426	294	520	422	287	307
ENSRNOG00000000024	269	244	216	224	193	148	283	423	284	189
ENSRNOG00000000028	144	111	121	82	114	116	159	180	101	90
ENSRNOG00000000029	368	378	186	175	268	230	445	494	376	250
ENSRNOG00000000033	15143	9951	12632	10634	12883	12645	16665	16242	11886	10621
ENSRNOG00000000034	356	278	280	187	228	215	285	442	290	288
ENSRNOG00000000035	0	0	0	1	0	0	0	2	0	0
ENSRNOG00000000036	1309	848	1392	1280	1358	1368	1381	1006	684	807
ENSRNOG00000000039	0	1	1	1	0	0	0	0	0	1
ENSRNOG00000000040	286	241	164	120	246	94	261	519	312	240
ENSRNOG00000000041	129	86	82	116	119	87	116	136	111	72
ENSRNOG00000000042	306	264	282	188	274	288	297	289	187	241
ENSRNOG00000000043	545	446	314	445	482	358	512	765	503	303
ENSRNOG00000000044	1241	635	872	1018	983	791	1169	1216	793	667
ENSRNOG00000000047	2702	2516	1975	1189	2021	1407	2829	4872	2862	2307
ENSRNOG00000000048	3846	2211	2376	3426	3400	2975	3722	3475	2186	2075
ENSRNOG00000000053	0	0	1	0	0	0	0	0	0	0
ENSRNOG00000000054	17503	8664	20032	13692	15303	14058	16656	14236	11519	10346
ENSRNOG00000000055	0	0	1	0	0	1	0	0	0	0
ENSRNOG00000000060	48441	23886	43245	38498	43831	46848	49623	30485	23832	22826
ENSRNOG00000000062	261	174	291	190	201	251	264	172	130	150
ENSRNOG00000000064	5627	4959	8339	4382	4058	5559	5368	4961	4429	3767
ENSRNOG00000000065	0	0	1	0	0	0	0	3	0	0
ENSRNOG00000000066	462	356	382	440	410	357	499	440	244	272
ENSRNOG00000000068	1037	1064	675	680	925	691	1087	1519	1029	988
ENSRNOG00000000070	641	422	646	397	455	482	650	456	343	582
ENSRNOG00000000073	111	149	184	78	78	127	110	151	128	181
ENSRNOG00000000075	93	117	157	78	50	100	89	107	88	118
ENSRNOG00000000081	41	31	10	21	34	19	46	39	41	31
ENSRNOG00000000082	183	190	342	127	131	194	176	187	177	372
ENSRNOG00000000091	45	24	32	24	60	43	61	57	17	52
ENSRNOG00000000093	0	1	0	1	0	0	2	1	0	0
ENSRNOG00000000095	984	611	752	708	810	760	913	799	510	510
ENSRNOG00000000096	180	150	102	160	160	133	162	188	98	132
ENSRNOG00000000097	1	0	0	0	1	0	1	0	0	1
ENSRNOG00000000098	580	451	628	505	523	538	680	571	371	481
ENSRNOG00000000104	1185	653	985	855	936	757	1172	1167	793	620
ENSRNOG00000000105	3877	1207	1001	981	1681	1088	2907	2093	1411	852
ENSRNOG00000000108	636	638	408	420	423	413	592	807	476	558
ENSRNOG00000000109	1	3	0	0	2	0	1	1	0	0
ENSRNOG00000000111	1455	938	1505	1215	1246	869	1625	1859	1233	903
